protein_id,year,tissue,n_contrasts,crop_contrasts,min_adj_P_Val,max_abs_logFC,mean_abs_logFC
XP_003251652,2020,G,3,CAC_vs_HBB;CAS_vs_HBB;CRA_vs_HBB,1.83650956083535e-16,6.76743767369703,6.37451421377379
XP_625205,2020,G,1,CRA_vs_HBB,1.5604146584023101e-15,3.48353369001555,3.48353369001555
XP_006559251,2020,G,1,CAS_vs_HBB,6.60135522488386e-14,1.97163249356461,1.97163249356461
XP_006558909,2020,G,1,CAS_vs_HBB,9.72518553466909e-14,2.44066000683865,2.44066000683865
XP_393262,2020,G,2,CAC_vs_HBB;CAS_vs_HBB,9.72518553466909e-14,4.60491131231273,4.34076490553399
XP_393315,2020,G,1,CAS_vs_HBB,9.72518553466909e-14,1.96442785014635,1.96442785014635
XP_006572525,2020,G,1,CRA_vs_HBB,1.10669553712102e-12,1.777580030414,1.777580030414
XP_396295,2020,G,2,CAC_vs_CRA;CRA_vs_HBB,1.10669553712102e-12,2.54114580450183,2.165369642380835
XP_006558732,2020,G,1,CRA_vs_HBB,4.23951679603197e-12,2.3907031446856,2.3907031446856
XP_394313,2020,G,1,CAS_vs_CRA,1.0744478855558199e-11,1.66209978994913,1.66209978994913
XP_392408,2020,G,1,CAC_vs_HBB,1.1728236053359099e-11,3.26587250787962,3.26587250787962
XP_006568799,2020,G,1,CAS_vs_CRA,6.1298812985514e-11,1.73210350964776,1.73210350964776
XP_393750,2020,G,1,CAS_vs_CRA,6.1298812985514e-11,1.2803807780793,1.2803807780793
XP_026302096,2020,G,1,CAC_vs_HBB,8.245715717461779e-11,2.67440540903888,2.67440540903888
XP_397201,2020,G,1,CAC_vs_HBB,8.893987194290179e-11,2.1880468839386,2.1880468839386
XP_016767270,2020,G,1,CAS_vs_CRA,1.76124497521325e-10,3.92197170637313,3.92197170637313
XP_026296548,2020,G,1,CAS_vs_CRA,2.12164393283082e-10,1.0380137895603,1.0380137895603
XP_016772417,2020,G,1,CAC_vs_CRA,1.36516254489415e-07,3.01032272425437,3.01032272425437
XP_026298607,2020,G,1,CAC_vs_CRA,1.98476103859315e-07,1.92385950084489,1.92385950084489
XP_016772954,2020,G,1,CAC_vs_CRA,4.16536073488031e-07,2.6241123453331,2.6241123453331
NP_001011583,2020,G,1,CAC_vs_CRA,2.21346909976016e-06,1.58331780882786,1.58331780882786
XP_623723,2020,G,1,CAC_vs_CAS,0.0013793744655775,1.15680952110296,1.15680952110296
XP_026296234,2020,G,1,CAC_vs_CAS,0.0017456091944029,1.54566861448912,1.54566861448912
XP_001121573,2020,G,1,CAC_vs_CAS,0.0023151047449192,1.24152064069488,1.24152064069488
XP_006569062,2020,G,1,CAC_vs_CAS,0.0023151047449192,1.66322491424311,1.66322491424311
XP_624815,2020,G,1,CAC_vs_CAS,0.0023151047449192,1.52132618725024,1.52132618725024
