protein_id,year,tissue,n_contrasts,crop_contrasts,min_adj_P_Val,max_abs_logFC,mean_abs_logFC
XP_026301800,2021,A,3,CAC_vs_CRA;CAS_vs_CRA;CAS_vs_HBB,8.559449997717469e-18,6.92798155314014,6.360283999819873
XP_006571016,2021,A,2,CAC_vs_HBB;CAS_vs_HBB,4.92509068193357e-16,3.4842363750988,3.4185061322509203
XP_006569315,2021,A,2,CAC_vs_HBB;CAS_vs_HBB,6.10819000407552e-16,1.88573285795734,1.858306407906495
XP_026298455,2021,A,1,CRA_vs_HBB,1.0949029748621601e-15,2.87555742242903,2.87555742242903
XP_026299041,2021,A,2,CAC_vs_CRA;CAS_vs_CRA,1.1248961654123501e-15,2.25998765631025,2.230847897232005
XP_397432,2021,A,3,CAC_vs_CRA;CAS_vs_CRA;CRA_vs_HBB,1.2052640803657702e-15,3.47108078483208,3.3973158790518263
XP_006569400,2021,A,1,CAC_vs_CRA,2.3740118255701e-15,3.41824617723858,3.41824617723858
XP_623902,2021,A,2,CAC_vs_CRA;CAS_vs_CRA,3.05335328464632e-15,2.65488546541744,2.631444729805115
XP_006562497,2021,A,2,CAC_vs_HBB;CAS_vs_HBB,3.0928780788984704e-15,1.89673742490229,1.862141076634925
XP_006564273,2021,A,1,CAS_vs_CRA,4.56747322581265e-15,1.91676915302498,1.91676915302498
XP_003249083,2021,A,2,CAC_vs_HBB;CAS_vs_HBB,4.739266290846e-15,1.68358099694077,1.651999215568235
XP_001122722,2021,A,1,CAC_vs_HBB,7.35935012510884e-15,2.61366766967289,2.61366766967289
XP_624479,2021,A,1,CRA_vs_HBB,9.27846007407441e-15,4.31016838931818,4.31016838931818
XP_006562508,2021,A,1,CRA_vs_HBB,1.77586144740789e-14,2.98077044792973,2.98077044792973
XP_026301243,2021,A,1,CRA_vs_HBB,1.77586144740789e-14,2.35105493131991,2.35105493131991
XP_006566546,2021,A,1,CAC_vs_CAS,4.982388504004611e-09,1.79214071861841,1.79214071861841
XP_026299161,2021,A,1,CAC_vs_CAS,6.69928226333366e-06,1.44372746826145,1.44372746826145
XP_026298056,2021,A,1,CAC_vs_CAS,9.79774260170697e-06,1.38897282500151,1.38897282500151
XP_624480,2021,A,1,CAC_vs_CAS,0.0002478325632863,1.21258455899866,1.21258455899866
XP_001122664,2021,A,1,CAC_vs_CAS,0.000820859111849,1.19222675402214,1.19222675402214
