protein_id,year,tissue,n_contrasts,crop_contrasts,min_adj_P_Val,max_abs_logFC,mean_abs_logFC
XP_006569214,2020,H,3,CAC_vs_CRA;CAS_vs_CRA;CRA_vs_HBB,3.02074472284482e-21,4.02104431062502,3.7008540651072863
XP_006568907,2020,H,3,CAC_vs_HBB;CAS_vs_HBB;CRA_vs_HBB,5.74243352138443e-21,3.30871364197828,3.1254370236416733
XP_006571016,2020,H,3,CAC_vs_HBB;CAS_vs_HBB;CRA_vs_HBB,1.18704380185699e-19,6.09855777589453,5.658520361190984
XP_003251652,2020,H,3,CAC_vs_HBB;CAS_vs_HBB;CRA_vs_HBB,5.5488669525219e-18,6.67588078094876,6.5143640667551
XP_006561041,2020,H,3,CAC_vs_CRA;CAS_vs_CRA;CRA_vs_HBB,3.79716319167698e-17,1.93218515391771,1.8692864674858434
NP_001265259,2020,H,3,CAC_vs_HBB;CAS_vs_HBB;CRA_vs_HBB,1.93044519939793e-16,2.00528237478974,1.85801841154786
XP_026302279,2020,H,2,CAC_vs_HBB;CAS_vs_HBB,1.93044519939793e-16,1.97254148698948,1.9705382895914099
XP_006569315,2020,H,2,CAC_vs_HBB;CAS_vs_HBB,3.2868618657880597e-16,2.18046558729996,2.133879246820295
XP_006559390,2020,H,2,CAS_vs_HBB;CRA_vs_HBB,3.6736694137331597e-16,1.81160546677171,1.75974713995462
XP_016767692,2020,H,3,CAC_vs_HBB;CAS_vs_HBB;CRA_vs_HBB,4.0502165105870697e-16,2.58186869748089,2.4577166595081765
XP_623197,2020,H,2,CAC_vs_HBB;CAS_vs_HBB,6.85673332458167e-16,1.62837706864859,1.5753371260717701
XP_006564514,2020,H,2,CAS_vs_HBB;CRA_vs_HBB,7.98034015789425e-16,2.14057746691143,2.0225858665191048
XP_006569794,2020,H,3,CAC_vs_HBB;CAS_vs_HBB;CRA_vs_HBB,7.98034015789425e-16,1.80367996285395,1.6741741414763167
XP_006558909,2020,H,3,CAC_vs_HBB;CAS_vs_HBB;CRA_vs_HBB,1.53725879305317e-15,3.61027886888393,3.4413748830074034
XP_006569283,2020,H,2,CAS_vs_HBB;CRA_vs_HBB,1.57522168500765e-15,1.90007940462376,1.641800599688795
XP_006560617,2020,H,2,CAC_vs_HBB;CAS_vs_HBB,1.9293307877168003e-15,4.97692170599836,4.80410972787128
XP_393315,2020,H,3,CAC_vs_HBB;CAS_vs_HBB;CRA_vs_HBB,1.9293307877168003e-15,1.9678072680318,1.9237478771254366
XP_006563705,2020,H,1,CAS_vs_HBB,3.36618845136339e-15,1.38346469344604,1.38346469344604
XP_016767451,2020,H,1,CAS_vs_HBB,5.473679810354831e-15,1.79313538610209,1.79313538610209
XP_026295809,2020,H,1,CAS_vs_HBB,5.909914463093391e-15,1.21890481317149,1.21890481317149
XP_006564223,2020,H,4,CAC_vs_CRA;CAC_vs_HBB;CAS_vs_CRA;CAS_vs_HBB,6.1137770708919006e-15,1.64341424254477,1.328435376767595
XP_397380,2020,H,1,CRA_vs_HBB,9.45173333583729e-15,1.24406726457435,1.24406726457435
XP_623377,2020,H,2,CAS_vs_HBB;CRA_vs_HBB,9.93871820477527e-15,1.71081898637748,1.65876127216524
XP_006568799,2020,H,3,CAC_vs_CRA;CAS_vs_CRA;CRA_vs_HBB,1.24483328033197e-14,1.76515202519605,1.5403009113531765
XP_006572525,2020,H,1,CRA_vs_HBB,1.24483328033197e-14,1.90916597221779,1.90916597221779
XP_026296548,2020,H,2,CAS_vs_CRA;CRA_vs_HBB,1.24483328033197e-14,1.77345250894567,1.505172144757085
XP_026301800,2020,H,1,CAC_vs_HBB,3.12391327599588e-14,3.96132689210272,3.96132689210272
XP_016772954,2020,H,2,CAC_vs_CRA;CRA_vs_HBB,5.11969203315421e-14,4.00350234210504,3.1912842404586703
XP_006568746,2020,H,1,CRA_vs_HBB,5.907104303412181e-14,1.54862901186678,1.54862901186678
XP_006560646,2020,H,1,CAC_vs_HBB,1.24632639084701e-13,3.35319666280751,3.35319666280751
XP_394718,2020,H,1,CAC_vs_HBB,1.67979459175668e-13,3.17507113113617,3.17507113113617
XP_026295579,2020,H,1,CAC_vs_HBB,1.75276561245699e-13,1.40817753726247,1.40817753726247
XP_006569713,2020,H,3,CAC_vs_CRA;CAC_vs_HBB;CAS_vs_CRA,2.4443570016359997e-13,2.2086364947667,2.089599376364393
XP_001122083,2020,H,1,CAC_vs_HBB,2.61642572481606e-13,1.91959927870916,1.91959927870916
XP_026298770,2020,H,1,CAC_vs_HBB,2.61642572481606e-13,1.38966389478213,1.38966389478213
XP_016772335,2020,H,1,CAS_vs_CRA,8.4063588409976e-13,1.53125298468402,1.53125298468402
XP_006557586,2020,H,1,CAC_vs_CRA,1.7803227491725799e-12,3.44957571733808,3.44957571733808
XP_395163,2020,H,2,CAC_vs_CRA;CAS_vs_CRA,1.7803227491725799e-12,2.09465037537511,1.9625119945110099
XP_394313,2020,H,2,CAC_vs_CRA;CAS_vs_CRA,6.59910251454332e-12,1.82360178195209,1.774836775981605
XP_006561768,2020,H,1,CAS_vs_CRA,7.772688556396829e-12,0.869673967331455,0.869673967331455
XP_392419,2020,H,1,CAS_vs_CRA,1.0574682496271498e-11,1.72574001133658,1.72574001133658
XP_006559506,2020,H,2,CAC_vs_CRA;CAS_vs_CRA,1.0622143983481499e-11,1.13649935944547,1.13462965852059
XP_006560736,2020,H,2,CAC_vs_CRA;CAS_vs_CRA,2.4302843204969297e-11,1.98026952302504,1.770762472054495
XP_026298797,2020,H,2,CAC_vs_CRA;CAS_vs_CRA,2.8791117340560004e-11,1.05434919877385,0.9965794572839025
XP_026299807,2020,H,1,CAS_vs_CRA,2.8791117340560004e-11,1.03651833227562,1.03651833227562
