protein_id,year,tissue,n_contrasts,crop_contrasts,min_adj_P_Val,max_abs_logFC,mean_abs_logFC
XP_026301800,2021,G,5,CAC_vs_CAS;CAC_vs_CRA;CAC_vs_HBB;CAS_vs_CRA;CAS_vs_HBB,1.03021767306551e-17,8.00222933164504,5.581692276401695
XP_625185,2021,G,2,CAC_vs_HBB;CAS_vs_HBB,1.03021767306551e-17,3.49352488036969,3.268340546751905
NP_008083,2021,G,2,CAC_vs_CRA;CRA_vs_HBB,3.3867276963850704e-17,4.06080285504333,3.6817308593968603
XP_392408,2021,G,3,CAC_vs_CRA;CAS_vs_CRA;CRA_vs_HBB,1.51005430224656e-15,4.65643414617941,4.233694206406014
XP_006570652,2021,G,3,CAC_vs_CRA;CAS_vs_CRA;CRA_vs_HBB,1.9104107290961903e-15,3.21104157229597,3.0842999746157367
XP_001120336,2021,G,1,CAC_vs_CRA,4.39478241055114e-15,4.03946333891807,4.03946333891807
XP_392780,2021,G,2,CAC_vs_CRA;CAS_vs_CRA,4.39478241055114e-15,2.15874723660902,2.12299513559277
XP_003249083,2021,G,2,CAC_vs_HBB;CAS_vs_HBB,5.0987967207288804e-15,1.93214512351433,1.894950950862845
XP_396295,2021,G,2,CAC_vs_HBB;CAS_vs_HBB,5.0987967207288804e-15,4.62687442344805,4.507216676009834
XP_001121025,2021,G,2,CAC_vs_HBB;CRA_vs_HBB,1.0976648299260301e-14,4.2598069587661,3.141800704757985
XP_624145,2021,G,2,CAC_vs_CRA;CAS_vs_CRA,2.0988826200849e-14,3.7083183507428,3.6120581630583253
XP_026294762,2021,G,2,CAC_vs_HBB;CAS_vs_HBB,2.24109566054593e-14,2.38887456429431,2.35036074291328
XP_006566627,2021,G,2,CAC_vs_CRA;CAS_vs_CRA,2.37793512821806e-14,2.39358834574384,2.366547481711415
XP_003250480,2021,G,1,CRA_vs_HBB,2.66549646982463e-14,4.67580073422245,4.67580073422245
XP_006557859,2021,G,2,CAS_vs_CRA;CAS_vs_HBB,2.7800952710435602e-14,2.29842946687301,2.087315589602615
XP_026302130,2021,G,3,CAC_vs_CRA;CAC_vs_HBB;CAS_vs_CRA,2.9518905043988e-14,1.84777557940958,1.5970653602654534
XP_006564519,2021,G,2,CAC_vs_CRA;CAS_vs_CRA,4.3224934100367997e-14,1.70425607203473,1.660036681131145
NP_001153536,2021,G,4,CAC_vs_CRA;CAC_vs_HBB;CAS_vs_CRA;CAS_vs_HBB,4.47649702610305e-14,1.75310325035198,1.43136651293386
XP_001122722,2021,G,1,CAS_vs_CRA,4.47649702610305e-14,3.793376617273,3.793376617273
XP_026302168,2021,G,2,CAC_vs_CRA;CAS_vs_CRA,6.051063202877111e-14,3.25843001882668,3.1357281751990698
XP_026299041,2021,G,3,CAC_vs_CRA;CAS_vs_CRA;CRA_vs_HBB,6.092980832578881e-14,2.1476606041491,2.0207792863365035
XP_006563613,2021,G,1,CAS_vs_CRA,6.24644315898262e-14,2.46711440643891,2.46711440643891
XP_016769202,2021,G,1,CRA_vs_HBB,7.51125720544673e-14,2.48481817986697,2.48481817986697
XP_006560008,2021,G,1,CAS_vs_CRA,8.452967838783351e-14,1.95200408999451,1.95200408999451
XP_026299449,2021,G,2,CAC_vs_HBB;CAS_vs_HBB,8.536507282187731e-14,1.96914654027845,1.871750699022955
XP_006563973,2021,G,2,CAC_vs_CRA;CRA_vs_HBB,1.1934422478289699e-13,3.37002127210831,3.36351946122209
XP_026297114,2021,G,1,CRA_vs_HBB,1.1934422478289699e-13,2.35766114604826,2.35766114604826
XP_392837,2021,G,2,CAC_vs_CRA;CRA_vs_HBB,1.1934422478289699e-13,3.30553237526257,3.05011985441116
XP_394245,2021,G,1,CAS_vs_CRA,1.24119073921732e-13,1.57637258139109,1.57637258139109
XP_026301606,2021,G,1,CAC_vs_CRA,1.26016934487978e-13,2.05246730539624,2.05246730539624
XP_006571882,2021,G,1,CAS_vs_CRA,1.27180310116228e-13,2.89831516332461,2.89831516332461
XP_006558909,2021,G,2,CAC_vs_HBB;CAS_vs_HBB,1.29690906947437e-13,3.55943258161231,3.39458832061597
XP_006565202,2021,G,1,CAC_vs_CRA,1.46509138120763e-13,2.5375308627276,2.5375308627276
XP_026299461,2021,G,1,CAS_vs_CRA,1.83372019547597e-13,3.68632533265043,3.68632533265043
XP_006559017,2021,G,2,CAC_vs_CRA;CRA_vs_HBB,2.1424118910637e-13,2.63529270418801,2.595500382146785
XP_026295530,2021,G,1,CRA_vs_HBB,2.21298663844083e-13,2.89057073665308,2.89057073665308
XP_006566101,2021,G,1,CAS_vs_CRA,2.27395569951943e-13,2.994226345142,2.994226345142
XP_026294816,2021,G,1,CAS_vs_CRA,2.27395569951943e-13,2.00681956385364,2.00681956385364
XP_394966,2021,G,1,CAS_vs_HBB,2.93896280409828e-13,2.01316128451386,2.01316128451386
XP_016767411,2021,G,2,CAC_vs_HBB;CAS_vs_HBB,3.09227460337337e-13,1.61150192556829,1.585271236297635
XP_006570218,2021,G,1,CAS_vs_HBB,3.10609352697507e-13,3.35512757060024,3.35512757060024
XP_006563163,2021,G,2,CAC_vs_CRA;CRA_vs_HBB,3.10796038202872e-13,3.5577292432547,3.54538173663874
XP_623864,2021,G,1,CRA_vs_HBB,3.4330871521246997e-13,1.89340279447706,1.89340279447706
XP_006560462,2021,G,1,CRA_vs_HBB,3.73863790832104e-13,2.82509259107966,2.82509259107966
XP_001122457,2021,G,1,CAC_vs_CRA,4.05100705595928e-13,1.64900588308834,1.64900588308834
XP_003251741,2021,G,1,CRA_vs_HBB,4.2741332767375e-13,2.91756699140178,2.91756699140178
XP_395364,2021,G,1,CRA_vs_HBB,4.2741332767375e-13,1.95812655152903,1.95812655152903
XP_396270,2021,G,1,CRA_vs_HBB,4.2741332767375e-13,1.86665630426874,1.86665630426874
XP_006569713,2021,G,2,CAC_vs_CAS;CAC_vs_HBB,4.28910901694345e-13,2.86985634125969,1.842533938166578
XP_006559245,2021,G,1,CAS_vs_HBB,5.21486383680758e-13,3.94035200026649,3.94035200026649
XP_006562163,2021,G,2,CAC_vs_HBB;CAS_vs_HBB,5.68411283882205e-13,2.42661695409783,2.343588132865235
XP_624594,2021,G,1,CRA_vs_HBB,6.76790252473707e-13,3.64937401472954,3.64937401472954
XP_026296664,2021,G,1,CRA_vs_HBB,6.78672223452932e-13,2.04687673961829,2.04687673961829
XP_026298015,2021,G,2,CAC_vs_HBB;CAS_vs_HBB,8.75408653398566e-13,1.76595229235429,1.7033919337596402
XP_006559890,2021,G,1,CAC_vs_HBB,1.6638628107571e-12,1.76972760151868,1.76972760151868
XP_624353,2021,G,1,CAS_vs_HBB,2.98892781756047e-12,1.35725307822075,1.35725307822075
XP_006563323,2021,G,1,CAS_vs_HBB,3.0416141800610997e-12,1.36406560691572,1.36406560691572
XP_026299926,2021,G,1,CAS_vs_HBB,3.0416141800610997e-12,2.24134573389621,2.24134573389621
XP_625100,2021,G,1,CAC_vs_HBB,3.88385687346317e-12,1.84219939340056,1.84219939340056
XP_393381,2021,G,1,CAS_vs_HBB,4.0030470011176594e-12,1.53056916776943,1.53056916776943
XP_006561192,2021,G,1,CAS_vs_HBB,4.09032985212896e-12,2.1535324463078,2.1535324463078
XP_006562497,2021,G,1,CAC_vs_HBB,5.0983415340642794e-12,2.03014114316125,2.03014114316125
XP_395163,2021,G,1,CAC_vs_HBB,6.7575539881606094e-12,1.85449754802931,1.85449754802931
XP_003249593,2021,G,1,CAC_vs_HBB,1.0818390090334e-11,1.59286415428984,1.59286415428984
XP_392430,2021,G,1,CAC_vs_HBB,1.1690685207227e-11,1.7980842775678,1.7980842775678
XP_006567287,2021,G,1,CAC_vs_CAS,0.0001257475031034,1.18844868295081,1.18844868295081
XP_003251833,2021,G,1,CAC_vs_CAS,0.0001907531870898,1.3024207014081,1.3024207014081
XP_026298602,2021,G,1,CAC_vs_CAS,0.0001907531870898,3.29234276436606,3.29234276436606
XP_006557586,2021,G,1,CAC_vs_CAS,0.0007302189669364,0.998918836861019,0.998918836861019
XP_006558859,2021,G,1,CAC_vs_CAS,0.0007302189669364,0.856562164438721,0.856562164438721
XP_001120174,2021,G,1,CAC_vs_CAS,0.0010636348165882,1.10891944596519,1.10891944596519
XP_006568827,2021,G,1,CAC_vs_CAS,0.0020717032122455,0.933375655403403,0.933375655403403
XP_006567782,2021,G,1,CAC_vs_CAS,0.0031331905275229,0.602103744989945,0.602103744989945
NP_001078813,2021,G,1,CAC_vs_CAS,0.0043633426112862,1.20274264795655,1.20274264795655
XP_001119928,2021,G,1,CAC_vs_CAS,0.0043633426112862,1.17896127825182,1.17896127825182
XP_006565447,2021,G,1,CAC_vs_CAS,0.0043633426112862,1.64132117185945,1.64132117185945
XP_006567914,2021,G,1,CAC_vs_CAS,0.0043633426112862,1.48156517195812,1.48156517195812
XP_006570437,2021,G,1,CAC_vs_CAS,0.0043633426112862,0.769369669931386,0.769369669931386
XP_016771113,2021,G,1,CAC_vs_CAS,0.0043633426112862,0.934146627460189,0.934146627460189
XP_026296808,2021,G,1,CAC_vs_CAS,0.0043633426112862,1.09182118723751,1.09182118723751
XP_026300810,2021,G,1,CAC_vs_CAS,0.0043633426112862,0.525408629491963,0.525408629491963
XP_395473,2021,G,1,CAC_vs_CAS,0.0066130472937651,1.26397892243913,1.26397892243913
XP_026302035,2021,G,1,CAC_vs_CAS,0.006695949622116,1.06579322352493,1.06579322352493
