join_key,crops
HBB|04|e|H,HBB
HBB|03|u|G,HBB
HBB|02|u|G,HBB
HBB|01|u|G,HBB
HBB|01|u|A,HBB
HBB|04|e|G,HBB
HBB|05|e|G,HBB
HBB|02|u|H,HBB
HBB|03|e|A,HBB
HBB|03|u|A,HBB
HBB|05|e|H,HBB
HBB|04|u|G,HBB
HBB|05|u|H,HBB
HBB|04|e|A,HBB
HBB|03|e|G,HBB
HBB|05|u|G,HBB
HBB|05|u|A,HBB
HBB|01|e|G,HBB
HBB|01|e|A,HBB
HBB|04|u|H,HBB
HBB|01|u|H,HBB
HBB|03|u|H,HBB
HBB|02|e|A,HBB
HBB|02|u|A,HBB
HBB|02|e|G,HBB
HBB|03|e|H,HBB
HBB|05|e|A,HBB
HBB|04|u|A,HBB
HBB|01|e|H,HBB
HBB|02|e|H,HBB
CRA|01|u|A,CRA
CRA|02|e|G,CRA
CRA|05|e|H,CRA
CRA|03|e|A,CRA
CRA|04|e|G,CRA
CRA|01|e|G,CRA
CRA|05|e|A,CRA
CRA|03|e|G,CRA
CRA|03|e|H,CRA
CRA|04|e|H,CRA
CRA|02|e|H,CRA
CRA|04|e|A,CRA
CRA|03|u|A,CRA
CRA|05|e|G,CRA
CRA|03|u|G,CRA
CRA|04|u|A,CRA
CRA|05|u|A,CRA
CRA|02|u|G,CRA
CRA|01|u|G,CRA
CRA|02|e|A,CRA
CRA|05|u|G,CRA
CRA|04|u|G,CRA
CRA|01|e|A,CRA
CRA|05|u|H,CRA
CRA|01|u|H,CRA
CRA|01|e|H,CRA
CRA|03|u|H,CRA
CRA|02|u|A,CRA
CRA|04|u|H,CRA
CRA|02|u|H,CRA
CAC|02|e|A,CAC
CAC|01|e|H,CAC
CAC|01|u|A,CAC
CAC|04|e|G,CAC
CAC|05|e|A,CAC
CAC|04|u|A,CAC
CAC|01|u|G,CAC
CAC|04|e|A,CAC
CAC|05|e|H,CAC
CAC|03|u|H,CAC
CAC|01|e|G,CAC
CAC|02|e|H,CAC
CAC|04|e|H,CAC
CAC|03|e|H,CAC
CAC|03|e|A,CAC
CAC|03|e|G,CAC
CAC|05|u|G,CAC
CAC|02|u|H,CAC
CAC|02|e|G,CAC
CAC|01|e|A,CAC
CAC|01|u|H,CAC
CAC|05|e|G,CAC
CAC|05|u|A,CAC
CAC|04|u|G,CAC
CAC|03|u|A,CAC
CAC|02|u|G,CAC
CAC|04|u|H,CAC
CAC|05|u|H,CAC
CAC|03|u|G,CAC
CAC|02|u|A,CAC
CAS|01|e|G,CAS
CAS|02|e|H,CAS
CAS|05|u|H,CAS
CAS|01|e|A,CAS
CAS|02|e|A,CAS
CAS|04|u|G,CAS
CAS|04|u|A,CAS
CAS|03|e|A,CAS
CAS|02|u|A,CAS
CAS|01|e|H,CAS
CAS|03|u|H,CAS
CAS|03|u|G,CAS
CAS|02|u|G,CAS
CAS|05|e|G,CAS
CAS|04|e|H,CAS
CAS|02|e|G,CAS
CAS|05|u|A,CAS
CAS|05|e|A,CAS
CAS|02|u|H,CAS
CAS|03|e|H,CAS
CAS|04|e|G,CAS
CAS|03|u|A,CAS
CAS|01|u|H,CAS
CAS|01|u|A,CAS
CAS|04|e|A,CAS
CAS|03|e|G,CAS
CAS|05|e|H,CAS
CAS|01|u|G,CAS
CAS|05|u|G,CAS
CAS|04|u|H,CAS
