join_key,crops
HBB|03|u|G,HBB
HBB|02|u|G,HBB
HBB|01|u|G,HBB
HBB|04|e|G,HBB
HBB|05|e|G,HBB
HBB|04|u|G,HBB
HBB|03|e|G,HBB
HBB|05|u|G,HBB
HBB|01|e|G,HBB
HBB|02|e|G,HBB
CRA|02|e|G,CRA
CRA|04|e|G,CRA
CRA|01|e|G,CRA
CRA|03|e|G,CRA
CRA|05|e|G,CRA
CRA|03|u|G,CRA
CRA|02|u|G,CRA
CRA|01|u|G,CRA
CRA|05|u|G,CRA
CRA|04|u|G,CRA
CAC|04|e|G,CAC
CAC|01|u|G,CAC
CAC|01|e|G,CAC
CAC|03|e|G,CAC
CAC|05|u|G,CAC
CAC|02|e|G,CAC
CAC|05|e|G,CAC
CAC|04|u|G,CAC
CAC|02|u|G,CAC
CAC|03|u|G,CAC
CAS|01|e|G,CAS
CAS|04|u|G,CAS
CAS|03|u|G,CAS
CAS|02|u|G,CAS
CAS|05|e|G,CAS
CAS|02|e|G,CAS
CAS|04|e|G,CAS
CAS|03|e|G,CAS
CAS|01|u|G,CAS
CAS|05|u|G,CAS
