join_key,crops
HBB|04|e|H,HBB
HBB|02|u|H,HBB
HBB|05|e|H,HBB
HBB|05|u|H,HBB
HBB|04|u|H,HBB
HBB|01|u|H,HBB
HBB|03|u|H,HBB
HBB|03|e|H,HBB
HBB|01|e|H,HBB
HBB|02|e|H,HBB
CRA|05|e|H,CRA
CRA|03|e|H,CRA
CRA|04|e|H,CRA
CRA|02|e|H,CRA
CRA|05|u|H,CRA
CRA|01|u|H,CRA
CRA|01|e|H,CRA
CRA|03|u|H,CRA
CRA|04|u|H,CRA
CRA|02|u|H,CRA
CAC|01|e|H,CAC
CAC|05|e|H,CAC
CAC|03|u|H,CAC
CAC|02|e|H,CAC
CAC|04|e|H,CAC
CAC|03|e|H,CAC
CAC|02|u|H,CAC
CAC|01|u|H,CAC
CAC|04|u|H,CAC
CAC|05|u|H,CAC
CAS|02|e|H,CAS
CAS|05|u|H,CAS
CAS|01|e|H,CAS
CAS|03|u|H,CAS
CAS|04|e|H,CAS
CAS|02|u|H,CAS
CAS|03|e|H,CAS
CAS|01|u|H,CAS
CAS|05|e|H,CAS
CAS|04|u|H,CAS
